index,text,emotions
401553,i tried on outfit after outfit and just didnt feel satisfied because everything seemed to accentuate my stubborn lhf low hanging fat,joy
402203,im feeling pretty determined right now i just have to keep my determination flowing from now on,joy
397264,im feeling lost worried tired,sadness
361620,i feel that my art still shows traces of this in its strong use of composition shape and colour whether subtle or vibrant,joy
397535,i feel burdened by the weight of having to plan a person party he can t stop telling everyone we meet how great our wedding is going to be,sadness
370819,im feeling now unspeakably remorseful i dont want to know if i was really the trigger of this whole occurence,sadness
356248,i feel like ive fucked something up and im not sure why,anger
376335,i feel rejected the dumb people were rejecting scout,sadness
358874,i feel like their perfect for each other they balance each other out and there just so good together,joy
407826,i feel too many men and women so called allow others family so called friends fake friends judases really co workers neighbors church folk occult people evil full of hell no life no relationship ones to come between them,sadness
395691,i feel it would be foolish not to take advantage of the area while its open,sadness
405725,i wont watch saving private ryan because i feel its too violent,anger
383307,i feel that this relationship builds the foundation for any successful healthcare model,joy
411052,i have yet however to feel any divine intervention,joy
397267,i do the occasional birthday card of course thats only when i m feeling overly artistic,joy
382149,i feel a bit free to just write whatever the hell comes out of my brain,joy
382878,i promise i feel fine,joy
366381,im feeling so emotional and i just wanna write about what i feel for james cause when im feeling down hes always here for me always even without knowing that i exist he gives me strenght to keep fighting to keep dreaming,sadness
400812,im feeling a bit romantic today it seems,love
374780,i didn t feel super tired as i cross the finish line which somehow got the attention of race officials,joy
399046,im not just bombarded with projects im also bombarded with things i have to ignore and i feel guilty doing so because people need help and i want to help but i just physically cant,sadness
379635,i feel overwhelmed with my workload i just remember that i have wanted to do this forever and i finally have my chance,fear
392169,i felt light headed and a little sick and its not a feeling that i am very keen on,joy
386716,i feel lucky that we didn t get o s diagnosis of p until she was over two years old,joy
368088,i kind of feel a little sorry for him having inherited the most powerful leadership position in the world at a time when america were engaged in a war which always divides a nation and costs billions,sadness
360114,i do not feel fearful,fear
408126,i think im just feeling a bit overwhelmed,fear
413051,i feel sceptical about studying and the system as a whole,fear
385818,ive been dealing with a lot these past couple monthes has been the fact that i feel alone,sadness
407396,id go into my frustrations with one member of the group but it feels petty to bitch about a girl whos mentally disabled,anger
363392,i feel awkward when i have nothing to say around my mom,sadness
380866,ive spent years feeling resentful and trying to curb that feeling of resentment,anger
358405,i have read quite a few blogs by some of the women in this community who talk about how the spankings help make them feel more submissive,sadness
355397,i tell you that i feel like you fake loved me i know that isnt true,sadness
358410,i really feel sort of embarrassed by all of this,sadness
391228,i woke feeling troubled,sadness
412780,i feel its rude not to give my phone conversation of my attention,anger
408557,i feel for her in this situation i really do i hate guiltships so she agrees to marry william but not without inflicting her godawful indecisive mouthbreathing fish face on the audience for several scenes,fear
359083,i was feeling soooo stressed and overwhelmed by everything,sadness
406423,i started feeling overwhelmed again,fear
378596,i mean my life completely sux and i feel tortured why does he love watching me have,fear
355670,i feel so bad seeing her try so bad,sadness
368552,i don t have anything to show for it i feel useless like i ve just wasted time all day,sadness
379646,im not really sure how she feels about what and i know that its dangerous to voice your opinions about these things becuase if they conflict with kelseys especially kelseys then itll be like i stabbed her in the back,anger
400832,i dont know this woman at all but i feel a tender spot in my heart for her,love
399173,i feel not abused,sadness
375587,i feel sorry for you and yes your mother should die cos she cancelled plans maybe cos her work is probably much less important than your frivolous plans,sadness
360219,i also feel thrilled,joy
353453,i can still visit them once in a while when i am ready and feeling sentimental,sadness
382776,i feel frantic and everything feels more stressful,fear
355173,i feel the love fundraising drive donations accepted via paypal,love
388153,i feel passionate about clay itself,love
394702,ive watched the movie a couple of times now to try and figure it out and all i can say is theres something about it that leaves me feeling not quite satisfied,joy
350482,i feel heartbroken today that i cant give pavel what he wants what he thinks he needs,sadness
406021,i watched the simpsons alone and my dad joined me for american idol which im not sure why i watch because im not feeling entertained and i most definitely got a headache last night within the first hour of watching,joy
366462,i make the move i am feeling very excited to be out on my own like this,joy
366956,i didnt feel numb anymore,sadness
385977,i somehow have the feeling that if i buy some fake products especially with highly visible sign i am a bit embarrassed even to wear these let alone having these kind of items at all,sadness
407048,i feel beaten and it is only the truth that hurts,sadness
375803,i feel free where the uk version includes spoonful instead,joy
389641,im feeling that it is vital for me to finish the fats ultra this weekend,joy
388647,i feel particularly eager and daring i imagine going further going to portland,joy
378598,i feel like i am super blessed of all this great news and the only thing i can say is thank you to him who made it happen,joy
362965,im walking around but i am sitting still or lying down i am feeling such strong kicks,joy
366937,i just get to use these moments to feel her arms wrap around my neck and hug me to see her with her determined look and accomplish something,joy
368454,i feel that the loving kindness exercise and the subtle mind exercise have also played a key a role in my psychological wellness,love
383721,im feeling about it at the moment im far from being convinced that its even worth saving aside from the effect it would have on our daughter,joy
350937,i wanted to say thank you to scarlett and winter a for always commenting and making me feel special d lt yall,joy
353875,i m feeling i would like for you to do this strategy involves being smart which stands for being specific measurable actionable responsive and timely in your request,joy
364738,i feel the important thing as in so many aspects of life is perseverance keep on praying even when its hard when its dry when there is no answer,joy
397482,i do that with god because i think that he isn t concerned with my oh so human feelings and petty frustrations,anger
362410,i meet a new person and i fail to reach out to them and to try to relate i feel ive missed out on the chance to talk to my lord and my god yet again,sadness
352680,i think as we do more preparing for the holidays it will start feeling like christmas its just so strange not being at home and not having any snow,surprise
372846,i feel flawless when youre around,joy
411162,i am feeling a little anxious to settle down,fear
381805,i started taking a pain killer yesterday and while it helps with the pain im having it leaves me feeling groggy dizzy and just overall not like myself,sadness
367110,i shared about how i used to run very often times weekly about minutes per session but due to my busy work schedule these days i personally consider myself very lucky and feeling joyful if i manage to find the time and energy to do just runs a week,joy
408108,i started to feel something lovely,love
396252,i laid in bed feeling anxious and having that general malaise feeling,fear
415752,i feel sad when it isnt reciprocated by some long distance family and in fact deliberately forgotten,sadness
398642,ill tell you the more i think the more i feel that there is nothing more truly artistic than to love people vincent van gogh,joy
380692,i feel relaxed concerning xbox one fifa coins i feel relaxed concerning xbox one fifa coins warning missing argument for wpdbprepare called in home content html classifieds wp content themes classipress includes theme functions,joy
398706,i don t normally drink almost a full bottle of beer so i feel quite lovely and giddy as a teenager,love
385113,i was starting to feel a little stressed and frazzled and all it took was burning some of our neroli essential oil to sort of refocus and relax me and make me feel confident in all of the endeavors ive got my hands in,sadness
391022,i hate feeling rushed and anxious about missing my flight so for me it s always best to just arrive earlier than most,anger
407901,i feel a little dirty saying that,sadness
384603,i feel frightened alone isolated,fear
355147,i feel for the nomenclatura who must make the unpleasant pilgrimage to the daily show in order to hawk their efforts,sadness
365153,i feel mad to myself because i dont trust my own self to do every assignments that given by the lecturers,anger
409203,i think a lot of my work is about feeling joyful,joy
372533,i feel it is ludicrous and even my mother had misunderstood said the year old star,sadness
382107,i purchased the transalp id had a bit of a family drama that had left me feeling generally pissed off and for once my mind was on things other than motorcycles,anger
414246,i can tell a few people how i actually feel about their uptight bitchy snobbing selves,fear
387902,i didnt work out for almost a week last week i had some rescheduled lessons and some extra babysitting and a jam packed weekend and while my muscles hurt last night today i feel fine,joy
371875,i opened the window to feel the cool dawn air and silhouetted in my whitebeam tree was a willow warbler giving a couple of bursts of its delightful song before continuing its passage to its breeding grounds,joy
409052,im that side out at the moment which means not only do i have insomnia but i am also feeling really creative,joy
361394,i didnt get anything bad just a lot of thanks and stuff that made me feel good about doing what i was doing,joy
362404,i feel shitty when i think it s only me who dreams of this marriage,sadness
378999,i feel that the online casual flash game was the first video game genre that was targeted towards older people particularly corporate office workers,joy
401986,i feel its that kind of effect on everyone here and i completely recommend it to anyone who isnt scared of hard work and wants to make a real difference and meet some great friend thatll end up feeling more like your family rhiannon daniels pez maya april june im in egypt now in hurghada,fear
400281,i open my mouth in my own country assumptions abound making me feel unwelcome,sadness
366619,i don t know where that takes me i feel so dissatisfied with anything that i write and i don t have an audience anyway,anger
408369,im so used to being alone and to feel unimportant to everybody,sadness
386167,i feel that he usually runs pretty even races,joy
397644,i guess the shit quik smokes makes him feel so mellow that the mere act of spitting a verse is too energetic to entertain,joy
366296,i was so pleased that for once i didnt feel annoyed that i had to pay cents for my cold water,anger
369525,i can never not feel dirty looking at this one,sadness
404270,i never feel like a burden to her i never worry i bothered her by calling at the wrong time i never have to apologize for needing her help her birthday is the rd of january was she born just to find her way into my life was she gods gift to me to help me face hard issues,anger
406809,i don t have a playlist as such but a song i ve been playing a lot recently is freewheel by duke special a song about the joy of being alive which actually does make me feel joyful and positive,joy
413873,im feeling passionate about something i still pray to whatever it is that is connecting us all,joy
375991,i continue with my explorations and am grateful that i have come to a place in which exploring once again feels safe and good and right,joy
400898,i feel more productive than ever and i feel really healthy both emotionally and physically,joy
350690,i feel like the defective uncouth weirdo in any church setting and have since i was an adolescent,sadness
410009,i could feel every part of my body get numb,sadness
399858,i feel like i knew you as the compassionate hilarious individual you were in your life through your books and emails,love
378548,i don t look as bad as i feel but even if i do i was determined to get back to blogging,joy
393276,i am feeling so reluctant these days,fear
351381,i can only feel that their thought process must have been benevolent,joy
373142,i think most of us have that desire to feel accepted and liked,love
389202,i feel so dumb but i really cant figure it out,sadness
409737,i feel for all the families that have lost things they hold dear,sadness
397734,i would feel victimized and angry when i would get off the phone with them,sadness
356686,i feel very successful with this game,joy
359392,i feel like i m not caught up in drugs and i don t have a troubled childhood,sadness
352288,i have now frankly there are tngs i feel i dont deserve but still in gods grace im amazed how i got to this point in my life,surprise
407519,i don t love it and i don t constantly get lost in what i m doing i m feeling like not only am i distracted but everybody else is distracted,anger
361273,i feel it was very successful with the things i chose to do,joy
377297,i am feeling very mentally and emotionally drained,sadness
398874,i feel like this is truly the time for me to make my artistic sprint in my career,joy
414811,i didnt even bother going out and shopping for something because i knew i wouldnt be able to find anything that i felt better in than what i had you can only feel sooooo cute when you are dressed up and weeks pregnant but hey i made it work,joy
387830,i feel for all that are suffering from dealing with isaac,sadness
405265,reunion with my wife after a legal separation,joy
385927,i wasted two months feeling doomed by nature and nurture until it finally hit me all these fucked up thoughts,sadness
396856,i dont think about it in detail i feel more tranquil now about being childless that i have been since i married,joy
353174,i literally feel like i am being emotionally abused,sadness
367056,i because i was a muhajiba from the west with origins from the east which i repeatedly assured them was not a phenomenon maybe i was feeling the pressure a little more and infact the nabulsi girls didnt have a repressed indoor life,sadness
362332,i know i talked about this issue with sean and how the media is the one to blame for a lot of these feelings then the real question is why do i allow myself to be tortured by these ideals that film tv books songs project,fear
403849,i use this when i get muscle cramps and it just stops them from feeling tender after,love
377055,when i got home from a pleasant trip abroad,joy
403906,i feel foolish for being so indignant about what happened,sadness
378138,i am feeling needy right now,sadness
403247,i always have a bfc sweet snack in the house i can eat one every day and not feel deprived and therefore not want to cheat,sadness
365348,i didnt think i was anywhere near that good but i feel very honoured,joy
375293,i feel invigorated now but i truly hate it when the weather is too consistently dangerous to get outdoor exercise,joy
398305,im currently feeling beaten back for lack of a better term by what i dont know,sadness
355804,i just have to remember the things i love when i feel so unloved,sadness
353708,i just cant help feeling lousy especially seeing how well others have done even not studying that much,sadness
397690,i didn t say you shouldn t feel outraged by it but i was gt gt gt gt gt referring to people who d only feel outraged by this and not by gt let s gt gt gt gt gt say a person being thrown off that cliff or shot in the gt face,anger
367691,i feel shy every time i remember how i did act when i saw you,fear
404146,i did not realize or was prepared for was the people in this clinic to cause for me to feel humiliated and dirty after leaving the clinic,sadness
354610,i feel alarmed,fear
404791,i feel petty for ever letting my darker emotions take hold of me,anger
355437,i just feel devastated that he does nt want to marry me yet,sadness
412852,i can make my patients feel reassured when they are laying under a big camera scanning the nuclear medicine they got into their body,joy
406782,i need to stop feeling unhappy,sadness
367213,i was grateful to feel accepted,joy
384761,i guess is to get people to feel loyal to us and come daily,love
354249,i expect that i wont always feel like chatting every time the block captain tries to strike up conversation i think the benefit of having a friendly and close knit neighborhood outweighs my occasional misanthropy,joy
402014,i finally feel more comfortable with myself and feel that ive really come into my own,joy
358189,i hate feeling selfish,anger
393812,im feeling doubtful of going to the secod one hahaha,fear
415721,i feel that it just adds to the character of this cute little desk,joy
387951,i really didnt feel at all like posting pretty pictures of animals especially cats,joy
355772,i dont know how i feel im extremely unsure,fear
357641,i was feeling shaky and i was desperately trying to hold on to the breathing techniques i learned in class and in yoga but was struggling,fear
415654,i know thats all of next tuesday but it would be nice to have something make this feel more like pregnancy rather than months of the flu and my body aching ballooning,sadness
387369,i dont hate people because i know how it feels to be hated and it doesnt feel very good,sadness
359173,i was feeling beaten down,sadness
367225,when i got lost in new york city a late friday night with a friend of mine,fear
357319,im left back feeling kinda cold woah so screw you bridgewe cant love not like this you broke me down do i even exist,anger
365968,i don t know if i mentioned that they had an obstacle course in rehab and the day i found out i was likely to be around for another week i went to physio and asked to have a go on it because i was feeling all grumpy and needed some fun,anger
401633,i realized that my self consciousness about my vatbodsandugreevase didnt lessen because im feeling super confident now or some shit,joy
412637,i feel like a fish out of water without my beloved camera,joy
415709,i feel threatened by the people who rework pantry staples to be devoid of butter sugar all that is good,fear
365881,i always feel like i will not live up to the title i am given but i am also terrified to let go of it,fear
413258,i feel more comfortable doing the counseling sessions but i really do not like to role play,joy
382567,im feeling maybe a bit more nervous about but only because i am aware of it,fear
369218,i was feeling rather depressed until i started this article,sadness
389608,i really feel that jackie and her boy toys along with the other supporting cast make this story,joy
389524,i d feel slutty so you probably should,love
367004,i have a feeling you will be as charmed by this little piece of history as i have been,joy
374987,i feel so lame and annoying and generally unliked sometimes,sadness
398726,i feel the name of this barley wine pretty much summed it up,joy
379469,im trying to keep this up with my wardrobe and making more selective purposeful purchases and lately i feel pleased with where im at with it,joy
352256,i never too late closer i believe in you enjoy yourself i feel for you all the lovers too far in your eyes shocked what do i have to do,surprise
384196,i said feeling relaxed,joy
378324,i am feeling very curious about my readers,surprise
416464,i just feel like im a second class citizen and that my safety doesnt really matter and that it just makes me feel like im not as valuable as all the other students filing past me she said tuesday,joy
407581,im not feeling the recharge of summer yet and considering it is june thats not cool,joy
408810,i cannot help but feel sorry for our cm,sadness
361813,i woke up feeling groggy and worse,sadness
376445,i lie on the bed reading or gaming or watching tv and i feel absolutely rotten that i can t do more,sadness
353438,i feel neurotic like woody allen,fear
392944,i have so far to go but im feeling pleased with my understanding,joy
368968,i feel sentimental i close my eyes and look up i feel powerful if i do that,sadness
359422,i feel so very thankful for today,joy
363142,i know what it is to feel frustrated discouraged sad at your core,anger
415011,i feel like my adrenals are being assaulted,sadness
400732,i have a feeling that i will never stop caring for you nor do i ever want to,love
356624,i asked him already feeling apprehensive,fear
364872,i keep trying to do and plus its fun to feel intelligent,joy
400690,i feel like my life is very messy but i know that ive been blessed greatly,sadness
377639,im still feeling shocked and yet at the same time happy because i feel as if weve established a more intimate connection between us now that i know how she really thinks and feels,surprise
400452,i expressed his joy saying i feel very honoured to have my comeback single chosen as tgcs official song,joy
379556,i have been trying to train my heart not to feel any more because i get hurt every so often,sadness
368402,ive been loving stepping onto land and feeling almost assaulted by the sounds and smells and sights of a place i never had a notion of,fear
366249,i feel like i have been wronged by people,anger
357593,i only ever do what i feel im fine most of the time,joy
360187,i think she only says it to make me feel special so i ll stop crying over getting teased at school,joy
387061,i ended up just ranting about it a lot feeling resentful for things that happened years ago and basically helping myself build up a huge grudge,anger
408995,i won the grammy that even feels weird saying that my mum said oh lou i found something and you re just going to freak out when you see it,fear
397721,im okay just as i am and my mom will wait on me to feel safe,joy
359662,i just feel mad,anger
390812,i left feeling defeated because in my mind i already had decorated that room with the four poster bed the focal point,sadness
353508,i remember sitting in my family room in dallas watching the story unfold in new york so many years ago and feeling so helpless,fear
408750,i feel assured which if smith or towles or newton can sojourn standing they have receivers eventually who can locate the ball,joy
350801,i feel lame wearing my black rimmed glasses wherever i go,sadness
370994,i ignored her minor tantrum and jumped down from the table beginning to pace again and feeling agitated,anger
385692,i don t feel devastated,sadness
415364,i suddenly realized i didn t have any other girl friends and when i looked up at my house instead of feeling ecstatic about being alone for a couple of days i felt lonely,joy
360281,i feel awkward cause all you ever do is talk about is your new set of friends,sadness
382512,i feel is a now vital franchise in motion picture history,joy
411795,i feel more valuable today doing what i am doing than i ever have before,joy
370526,i feel a little dirty giving shadowstats guy attention,sadness
396757,i don t know what i ll get out of it in the long run but i feel like it s going to be a positive change,joy
412554,i still feel very uncertain about our future if this is ms for sure because i know that it can take a toll on life,fear
352781,i feel cool saying that because i just learned what it means,joy
372614,i am trusting that i am loved worthy for my hand to be held sometimes when i am childlike feel frightened alone need a friend,fear
356330,i always feel super awkward and trip over my words,joy
392290,i started back to my online school on monday and was overwhelmed on sunday at all that i had to do the first week but it is tuesday and i am feeling kind of ok about it,joy
396488,i will not live the rest of my life feeling deprived,sadness
407864,im outta control feeling so mad like im gonna go and cut my hair cut my hair,anger
360277,i just really feel overwhelmed by the love god has poured out on me,fear
354421,i will probably get an epidural unless the pain isn t so bad unlikely or unless i am suddenly feeling strong and empowered by the attempt to push pounds of human out of my body less likely,joy
358474,i feel like i have to stay loyal to nick completely,love
367156,i the teacher that is making my students feel loved and safe and cared for with my whole heart,love
378157,i feel like jerry jones and tom coughlin are just frightened by chip kelly comment,fear
374913,i thought i wanted to feel that carefree again,joy
360242,i just cant seem to find the words to tell you how i feel we have to leave our beloved walkway our sunny lounge,love
401852,i will only discuss the content manner of presentation and my overall thoughts about whether i feel this book is a valuable resource for those with fms add adhd and other reasons you might want to read it,joy
397403,i feel he did that because she could no longer have kids and could spend every waking moment devoted to him,love
398860,i am so ticked and i feel unloved and rejected and like what i want doesnt matter,sadness
402860,i am feeling most splendid for getting this far,joy
411169,i can feel his smile as he says daughter you took a risk trusting me and now you re healed and whole,joy
363014,i cannot help but feel shocked convicted and a bit frazzled at first,surprise
351686,i think everyone feels that way and i think thats whats pretty cool about it and thats what people can relate to,joy
395635,i am not feeling appreciative about your discipline i say,joy
391075,i feel like my casual observances have been repaid with mass produced pandering sloppy boring crap based on an uninspired script directed by an amateur,joy
355315,i am feeling broke and moody,sadness
377967,i feel unhappy sometimes feels self pitying but i was morose on twitter last night and wanted to explain not least to graceess and rachel,sadness
371364,im actually a little sensitive and feel energies where ever i go and sometimes these energies are weird or gross,surprise
380657,i feel strongly about and i am convinced it is an issue that the google people will need to sort out before hardware starts landing,joy
368845,i am so ashamed of myself and i feel horrible,sadness
361151,i am what you might call a champion buzz kill always on the run from any stimulus that god forbid might make me feel too joyful,joy
396167,im not exactly feeling vital right now,joy
367725,i feel drained after some social situations even when i enjoy myself,sadness
366065,i was free and nothin or no one could really piss me and im very sorry that this feeling lasts always on vacation here in shitty daily grind is all so dull and lifeless and when im again back home i want to leave immediately again sure you know,sadness
394308,i feel like i was doing better when i had my medtronic pump,joy
403378,i feel like washing and caring for the lunapads teaches a certain amount of appreciation for our things,love
409790,im feeling my body aching all over tags a rel tag href http crystal glaze,sadness
365292,i feel like her little life is falling into a sweet schedule,joy
386489,i have to feel whiney when i m just today one week out of surgery major abdominal surgery,sadness
394730,im feeling shitty about my dull skin,sadness
410527,im really crazy and weird but maybe the next time shes looking in the mirror and feeling unhappy shell remember what i said,sadness
378838,i wonder when you stop feeling damaged,sadness
379020,i used to feel and sometimes still do that if i write about myself i ll be called selfish,anger
414831,i believe love takes time and two months is a little early to express feelings like that that are sincere,joy
359453,i feel a little greedy thinking more for myself than my compatriots but having placed loyalty above my personal eve benefit several times in the past im taking an opportunity to do something a little different than ive done before and just sit back relax and play eve,anger
389090,i am grateful for every single thing i have maybe then ill start feeling dismayed when i don t have more,sadness
368653,im currently semi seeing this guy whom well simply call dude because im not feeling particularly creative right now,joy
369619,i am feeling gloomy today,sadness
387818,i started feeling hopeful for getting things right this holiday season,joy
398447,i threw my passion for freedom into overdrive and tore at their restraints feeling myself slip free,joy
356949,im feeling thankful,joy
379287,i feel a divine connect with my instrument zakir hussain the times of india,joy
361043,i have noticed some changes in the way i look and feel i am not suffering as much from dunlop s disease where my belly dun lop over my belt,sadness
370058,i couldnt help but feel that precious maternity leave time could have been better spent actually with my newborn baby,joy
368208,i love finding the perfect word to describe a feeling or a sight or an event but the perfect word is eluding me here,joy
414632,i find comforting the idea that someone somewhere is laughing even if i am feeling gloomy or sad,sadness
353243,i feel i have to make up for my disadvantaged positions in society by being obnoxious and pushy,sadness
351296,i am action orientated and generally feel comfortable making things happen alone but this experience has taught me the value in other people s opinions,joy
398888,i could feel all the bitchy cramps starting to appear,anger
372993,i feel fear and i cringe i shy away,fear
399343,i dinged a couple of points for the fabric this is a rayon woven that is a bid rough feeling and the weird very short sleeves bodens sleeves usually run long too,surprise
355800,i are nearing the big ourselves it is pretty much inevitable i will soon be here once again feeling an unpleasant sense of d j vu,sadness
370822,im feeling dirty,sadness
367390,i came to feel intimidated,fear
378508,i started feeling selfish,anger
396437,i feel i have no direction in life i can t find a passion that i can hold on to and when i m passionate about something is really the only time i m any good at it,joy
394795,i do admit i took a walk because i was feeling really distressed,fear
404514,i feel angry because the queen doesnt really seem to care much about her husbands death or should i feel sad due to the kings death,anger
388070,i do when i m feeling a bit weird to reground myself,fear
384749,i feel that team blogs are really popular because it has the perception that it is easy,joy
383919,i can feel the gentle guidance of the lord everyday,love
409264,i can comprehend the feeling i was uncertain of i feel at peace,fear
369913,i started a drawing of supa chibi ketsueki in a chibi tub holding a chibi octopi its sooooo cute xd his expression makes me feel all giggly inside,joy
365005,im just happy to be feeling something because for the last few days ive felt pretty,joy
401217,i feel quite proud of myself for sticking to my resolutions this week,joy
364620,i go back to orit feeling triumphant ish with all my papers the form the picture the receipt from the post office the letter from the hebrew lady,joy
357118,im back to blog feeling exceptionally low today,sadness
405434,i feel that i was successful and i weigh in at ish now and i bike frequently,joy
410336,i dont want to do anything with anybody but i feel like if i get too distracted ill repeat the same mistakes ive done previously with my other semesters,anger
411482,i no longer feel like its valued im out,joy
410881,i can in some cases feel compassion if i know the offender is also emotionally damaged but i cannot bring myself to truly forgive or to accept what happened and just move on from it,sadness
414989,i feel many others suffering from adult acne breakouts can benefit from looking at,sadness
351481,i had to choose to turn my feelings of they don t understand into i should be joyful along with them so they do understand,joy
411089,i talk to who doesnt make me feel insecure,fear
351946,i hate the feeling of the cold lining on my skin and how the wind goes up the sleeves,anger
357628,i don t feel repressed in everyday life,sadness
397924,i must say i am feeling a little smug today,joy
350213,i feel about this band perhaps i m too distracted by the hardcore dancers flailing around,anger
360811,i feel like i m getting peaceful and with no negative sensations to feel or negative ideas to hear inside my mind,joy
380297,i hasan the man who makes me feel shy retiring and modest count horizontal style width px heightpx iframe src http www,fear
382082,i feel assured knowing i have all of this at my fingertips shall i ever need a walk down memory lane,joy
374312,i don t want to ever feel as if i m being complacent in the relationship,joy
389549,i loved feeling our sweet baby girl move every day,love
365507,i always feel too vain and not even in apperance,sadness
350755,i feel disheartened in which i feel disheartened i do a lot of freelance work but by day i work for a newspaper,sadness
382219,i was in my car screaming in pain and like he doesnt even come over to me to see if im ok nothing that made me feel so helpless it was a fucking nightmare,sadness
404036,i feel a bit inadequate when she shows mentions a risk that i missed,sadness
409598,ive always been one of those people who feels nostalgic for the present,love
352542,ive come back to montreal ive been feeling restless,fear
408483,i have any questions or concerns she never makes me feel dumb and if something has been causing me pain,sadness
398029,i hope vawter plans to write more stories as he pulled me into this one and made me feel sympathetic to almost all of the characters,love
355087,i is that if there is a matter he feels strong abo,joy
415508,i feel on edge and yet i feel safe,joy
364234,i am tired and feeling defeated,sadness
397062,i feel now all this discontent,sadness
350702,i think this is the first time one of our trailers has truly captured the feel of the movie so im excited for people to see it continues wilson,joy
370180,i could feel my clit getting harder aching to be touched i had butterflies in my stomach and i wanted him to fuck me,sadness
376295,i feel privileged to have come across so many people who are nothing short of beautiful,joy
358427,im currently on day and im feeling fabulous to say the least i dont want to spoil anything because the results from level of the day shred are due to published on here wednesday evening,joy
373231,i wouldn t feel confident enough to do it but this is shakespeare,joy
367181,i feel like the back yard is soo messy,sadness
356986,i honestly i feel like opening up a shelter for abused accessories that should have owners with better fashion sense,sadness
388798,i want to go anywhere feeling carefree,joy
381777,i always love to hear what you have to say so feel free to add your thoughts,joy
406002,i am never late always early i panic about being late and feel weird being early,fear
369022,i am all about inspiration and love nothing more than to fritter away time looking at beautiful pictures on pinterest blogs and in magazines but if im not careful i can come away feeling more defeated than inspired,sadness
374342,i am now drunk again and feel fab,joy
392243,i feel sort of fucked,anger
392895,i know you may be feeling jealous while looking at my new years pictures and i also know that if my mom read my blog shed say this honey did you ever get that mole checked on your left ear,anger
415577,i was just starting to feel a little grumpy and then i started to hear sounds its a bit faint that i cant make out the words and then suddenly it snapped me it was a spell but school are suppose to have those magic boundaries around them,anger
394904,i feel really up do date with this troubled region,sadness
362111,i think i could go for a round two if youd like to find out just how i feel i scowled not amused in the least bit,joy
396938,i dont hear from you in a few days i feel lost and confused,sadness
388497,i did kiss him a few times like tiny kisses nothing major but only because he did it first and i did not want to feel stupid,sadness
406250,i have started july on a course of antibiotics each jon has had tonsillitis and has been particularly rough all week ive got a water infection and a bladder and uterus that feels completely irritated and uncomfortable at the moment,anger
389410,i can attend meetings classes and conversations and not feel excluded fearful attacked isolated outnumbered unheard held at a distance stereotyped or feared because of the size of my body,fear
413129,i lose the ability to provide words for the unique feeling my heart is experiencing at the realization that my sweet baby boy is turning into a fun loving full of life adventurous little toddler,joy
384016,i go overboard with my sense of duty and responsibility and feel worthless if i fail,sadness
