id,premise,hypothesis,label,explanation,type,idiom
4576,She was not at all surprised and her mouth remained closed.,Her jaw dropped.,Contradiction,"To have one's jaw drop is to be so shocked that one's mouth opens wide in surprise, but in this context she was not at all surprised and her mouth was closed",Idiom,jaw drop
3965,They win their parents over with a contradictory pessimistic vision of the world which is decidedly reassuring .,They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .,Contradiction,"A rose-tinted vision of the world is one that is overly positive or optimistic, while contradictory pessimistic views of the world are those that are negative or pessimistic.",Metaphor,
41,Losing your family pet after 10 years is one of the hardest things I have had to do,One of the easiest things I have ever experienced was losing my family pet after 10 years,Contradiction,"Losing a family pet can be a really sad and difficult experience for someone, so it is unlikely that they would consider it to be one of the easiest things they have ever experienced.",Sarcasm,
1104,This maniac cut me off on my way to the doctor yesterday.,That kind man cut me off on my way to the doctor yesterday and I was so pleased,Contradiction,"That man was not kind because he cut someone off on the road which caused inconvenience and wasted their time, so it is not logical to be pleased by that.",Sarcasm,
3688,I'm having such trouble with a co-worker.,"My co-worker always manages to ruin my day, I look forward to it so much.",Contradiction,No one looks forward to having their day ruined by a co-worker ,Sarcasm,
2843,I was hoping to get my water heater fixed today but the plumber never showed up.,I was looking forward to getting my water heater fixed today but many thanks to the plumber for not showing up and making me suffer in cold.,Contradiction,A water heater breaking down is a huge inconvenience because it leaves people without hot water and so the plumber not showing up to fix it is really unhelpful.,Sarcasm,
6931,Hardy was cheerful by the time sixth period photography came around.,"By the time sixth period photography rolled around, hardy was like a bear with a thorn in its paw.",Contradiction,A bear with a thorn in its paw would be in pain and not cheerful,Simile,
2068,I've been grinding for two years as an aspiring actor and I have yet to land any large roles.,Overjoyed with how I've been working my ass off for two years as an aspiring actor and I still don't have any large roles,Contradiction,The goal of aspiring actors is to get large roles and so someone who has not been successful after two years is not overjoyed but rather very disappointed.,Sarcasm,
413,"To ask what's it like to be a warden in d.c., Hunting down the bad guys and bringing them to justice as well as everything else that is related.","To ask what's it like to be a warden in d.c., Hunting down the bad guys and bringing them to justice and all that jazz.",Entailment,"And all that jazz means and everything else, so in this sentence it is referring to everything else that is related to being a warden in D.C.",Idiom,and all that jazz
5056,That movie was disturbing,That movie was as disturbing as puppies,Contradiction,"puppies are not disturbing, they are cute",Simile,
1892,It's sucks when you have to take care of yourself when you don't feel well.,It's extremely easy when you're feeling terrible and the only thing you can do is take care of yourself,Contradiction,"When people are sick, they usually have a hard time taking care of themselves because they feel weak and hence it is actually quite difficult to do so.",Sarcasm,
7496,I told my kids to clean while I was gone and the house looked worse than before I left,I got home and found out my angelic kids only made the house dirtier when I told them to clean it,Contradiction,Kids are often disobedient and do not listen to what their parents tell them so making the housing messier when asked to clean is not being angelic.,Sarcasm,
161,The new moon is dim and sets through the tree tops.,The new moon peers through the tree tops.,Contradiction,"The new moon Peers mean it is rising, while the setting moon is typically seen as being dim.",Metaphor,
5047,You need to actively try to change or control the situation and not just go with it.,You need to go with the flow a bit more.,Contradiction,"To go with the flow means to not try to change or control the situation, but the contradiction is that the person in context is advised  to actively try to change or control it.",Idiom,go with the flow
3886,He did not like the gym,He liked the gym as much as a case of the measles,Entailment,"A case of the measles is an unpleasant experience, so the simile is indicating that the speaker does not enjoy going to the gym.",Simile,
5571,They have been undecided and not taking any sides about legalizing marijuana for the past several years.,They have been sitting on the fence about legalizing marijuana for the past several years.”,Entailment,"To sit on the fence means to not make a decision or take a side, and in this context they have been undecided about legalizing marijuana.",Idiom,sit on the fence
2040,Momma and Emma were not working together at all to try to fatten the girl up.,Momma and Emma were in cahoots to try to fatten the girl up.,Contradiction,"To be in cahoots means to be working together closely and often secretive or conspiratorial, but in this context Momma and Emma were not working together at all",Idiom,in cahoots
4162,I was so pissed off when I found out that my girlfriend kissed my best friend,I was so pleased when I found out that my girlfriend kissed my best friend,Contradiction,The fact that someone's girlfriend kissed their best friend is not something to be pleased about because it implies that the relationship is in trouble and may be headed for a breakup.,Sarcasm,
571,I almost crashed my car because the guy that cut me off was being so reckless,I almost crashed my car because the guy that cut me off was being such a cautious driver.,Contradiction,The guy that cut the person off was driving dangerously causing them to almost crash their car so they can't be cautious.,Sarcasm,
4487,I never got the chance to get promoted at work even though all my colleagues did,It makes me super happy that I was never lucky enough to get promoted at work but my colleagues were promoted before me.,Contradiction,It is not a happy feeling to be left behind when colleagues are promoted as it shows a lack of talent or ability on the part of the person who was not promoted,Sarcasm,
3401,Her face was already red,Her face was already like a beet.,Entailment,"Beets are a red vegetable, so the simile is saying that her face was already red.",Simile,
5820,"It weighs nine pounds,"" said Dr. White proudly.","it weighs nine pounds,"" said dr. white, sounding like a father telling you the weight of his newborn baby.",Entailment,"A father telling you the weight of his newborn baby is proud because it is a large weight for a newborn, so Dr. White sounds proud.",Simile,
668,The cigarettes affected his health.,The cigarettes rained on his health.,Entailment,The cigarettes rained on his health means that the cigarettes had a negative effect on his health.,Metaphor,
289,I'll get you the goya for an extremely cheap price.,I 'll get you the goya for a song. ',Entailment,To get something for a song means to get it for a very low price.,Idiom,for a song
6340,I have a co-worker who's totally incompetent that makes more money than I do.,It makes me feel proud when I think about the fact that my brilliant co-worker who barely does anything is making more money than I do,Contradiction,Someone who barely does anything and is not productive does not deserve to make more money than someone who is hardworking and deserves it.,Sarcasm,
6295,"All things considered, I believe we represent more of the qualities they deem important.","I believe at the end of the day, we represent more of the qualities they deem important.",Entailment,"At the end of the day means when everything else has been taken into consideration, and in this sentence everything else has been considered and it is concluded that the speaker represents more of the qualities they deem important.",Idiom,at the end of the day
5345,"Now, without any notice, I'd like to invite ms. Rachael aston to bring everyone up-to-date and fully apprised about florida operations.","Now, without any notice, I'd like to invite ms. Rachael aston to bring everyone up to speed with respect to florida operations.",Entailment,"To be up to speed means to be fully apprised about someone or something, which is what she will be doing by bringing everyone up-to-date on florida operations.",Idiom,up to speed
3771,I just hate when people drive slow in the left lane,I'm really joyful when people drive slow in the left lane and prevent me from passing them,Contradiction,Drivers who drive slow in the left lane and prevent other drivers from passing them are causing a hindrance and so it should bother the person affected by it.,Sarcasm,
6384,The fabric was not smooth,The fabric was as smooth as a washboard,Entailment,"A washboard is a tool used for scrubbing clothes, so it is not a smooth surface.",Simile,
1096,I can't believe my son took my car without asking me,I am so pleased that my son blatantly took my car without asking me first.,Contradiction,Most people would not be pleased of their son for stealing from them and so the speaker is using sarcasm to convey that they do not approve of what their son did.,Sarcasm,
6257,Your breakthrough in AI just made our species more relevant than ever.,You’ve just made a breakthrough in AI that meant that our species became like useless flesh blobs.,Contradiction,"If our species became like useless flesh blobs, it would mean that we are now irrelevant and not needed, which contradicts the second sentence",Simile,
3075,He smelled fresh.,He smelled like an old book .,Contradiction,"An old book would have an musty smell, whereas something that is fresh would not have that smell",Simile,
7508,I get aggravated with people who don't understand personal space.,I get so happy with people who invade my personal space and make me really angry,Contradiction,People who invade personal space without consent can often make someone feel angry and violated and so someone who gets happy around them is not being real.,Sarcasm,
6098,"For all his words he did not feel any better, he felt small and afraid,","For all his words he did not feel any better, he felt like a burrow-baby in the jaws of a whiptail.",Entailment,"A burrow-baby is a small creature that is vulnerable to predators, and a whiptail is a fast, agile predator so the obvious feeling is to be afraid.",Simile,
4966,Foy offered to lend money to bring him to midstate as soon as possible.,Foy offered to foot the bill to bring him to midstate as soon as possible.,Contradiction,"To foot the bill means to pay for something, but this sentence describes Foy offering to lend money instead",Idiom,foot the bill
262,"He wants to break us, so that when we're put up for sale, we will be docile.","He seeks to mold us, to make us pliable, to bend us to his will, so that when we mount the auction block, we will be like a herd of cows.",Entailment,"A herd of cows is known for being docile, so the simile is saying that the person wants to break us so that we will be docile and easy to control when we're put up for sale.",Simile,
2703,It was a slow fire that burned between them.,It lit the fire between them like a match ignites timber.,Contradiction,"A match ignites timber quickly, so saying it lit the fire between them like a match ignites timber means it was a quick fire",Simile,
7382,He's dirty,He's like a pig in a wallow.,Entailment,"A pig in a wallow is a pig that is rolling around in the mud, so it is implied that the person is dirty.",Simile,
889,I have a math test tomorrow and my stomach won't stop churning.,I feel so confident about my math test tomorrow that my stomach won't stop churning.,Contradiction,"Feeling confident about a math test tomorrow cannot lead to one's stomach churning because that is a sign of anxiety and nerves, which are not associated with confidence..",Sarcasm,
116,"If you're looking to create a big impact and be successful in the tech field, the time is now.","If you're looking to make a splash in the tech field, the time is now.",Entailment,"To make a splash means to be very successful and garner a lot of public attention, which is what the context is suggesting.",Idiom,make a splash
7235,"I'll testify how you've been going mad for weeks, muttering in a very quiet voice and all that.","I 'll testify how you've been going mad for weeks, muttering under your breath and all that.",Entailment,"To mutter under your breath means to mutter in a very quiet voice, which is what the person has been doing for weeks.",Idiom,under your breath
1753,I don't like it when mosquitoes attack me while I'm having a good time at the beach,I appreciate it when mosquitoes ruin my good time by attacking me while I'm at the beach,Contradiction,Mosquitoes are known to spread diseases and so getting attacked by them when one is trying to enjoy themselves at the beach is really not a thing to appreciate.,Sarcasm,
1161,How she'd looked unbreakable and resilient.,How she'd looked like a porcelain vase.,Contradiction,"A vase is a fragile container, made out of porcelain, so it can break easily, whereas being unbreakable and resilient would imply that she is not fragile",Simile,
1625,Looks like he'd enjoy the back room at the place where people are not tricked into buying something.,Looks like he'd enjoy the back room at the bait and switch.,Contradiction,"The bait and switch is a deceptive practice in which people are tricked into buying something, but this sentence says he would enjoy the back room at a place where people are not tricked into buying something.",Idiom,bait and switch
7246,Maybe they think the living will follow the rules once they realize there won't be a second life waiting for them.,Maybe they think the living will toe the line once they realize there won't be a second life waiting for them.,Entailment,"To toe the line means to follow the rules, and in this context the living are following the rules.",Idiom,toe the line
3250, I was super anxious when my power went out yesterday and I had no phone service.,I felt blessed when my power went out and I had no phone service to contact anyone,Contradiction,"Losing power and phone service can be really inconvenient and cause a lot of stress, so someone feeling blessed when that happens is not understandable.",Sarcasm,
3811,"My face felt warm and flat, and the lid was stuck shut.","The lid was stuck shut, and my entire face felt like a submerged corpse 's.",Contradiction,"A submerged corpse would be cold and not warm, and it would be bloated and not flat",Simile,
5679,"As a result, I felt like I had to act carelessly and recklessly in order to upset him.","As a result, I felt like I had to walk on eggshells around him.",Contradiction,"To walk on eggshells means to be very careful so as not to upset the person, but the speaker in this context acted carelessly in order to upset the person.",Idiom,walk on eggshells
5172,Made everything on the earth silent.,"Covered  all the earth with silence ,",Entailment,"When something is covered, it is usually hidden or obstructed from view.",Metaphor,
5961,My rage and anger increased when he walked in the room.,My heart skips when he walks in the room.,Contradiction,"When something causes your heart to skip, it typically means that you are happy or excited, whereas, if your rage and anger increase, it would suggest that you are not happy or excited.",Metaphor,
2849,The police chased the suspect for two days before he finally eluded them and got away.,The police chased the suspect for two days before he finally gave them the slip.,Entailment,"To give someone the slip means to escape from a pursuer, which is what the suspect did by eluding the police and getting away.",Idiom,give someone the slip
1906,I was going on a weekend to the lake but ended up getting sick.,"I was really looking forward to going to the lake on a weekend, so I'm utterly delighted instead now that I have to cancel it because I am sick",Contradiction,Most people would be really upset if they had to cancel their plans to go to the lake on a weekend due to falling sick and would not be delighted at all,Sarcasm,
3347,"The atmosphere was dark and mysterious,",The atmosphere was like a funeral chamber for some big shot human being.,Entailment,"A funeral chamber is a place where someone has died, and is thus dark and mysterious.",Simile,
4688,I was getting so fed up at the movies last week becasue children would not stop talking.,I was really enjoying myself at the movies last week because of all the screaming kids.,Contradiction,The presence of screaming kids at the movies can often ruin the experience for other movie-goers and so no one can enjoy themself in that situation.,Sarcasm,
1565,"I was at my friends party last weekend, and someone threw up in the hot tub!","It was totally amazing when I was at my friends party last weekend, and someone threw up in the hot tub",Contradiction,"Having someone vomit in the hot tub is not an amazing thing to happen, because it makes the water dirty and contaminated.",Sarcasm,
5800,You were oblivious of what someone else had said.,You were hanging yourself on someone else 's words.,Contradiction,"Hanging oneself on someone else's words would mean to be relying on them or putting too much importance on them, while being oblivious of what someone else has said would suggest that you were not paying attention to them or you did not care about what they were saying.",Metaphor,
3539,I hate when my kids leave their clothes all over the floor,It makes me proud of my parenting skills when my kids leave their clothes all over the floor,Contradiction,Parents are usually expected to teach their children to put away their clothes after they take them off and so it is absurd for someone to be proud of their parenting skills when their children don't do that.,Sarcasm,
1779,I feel pathetic,I feel like a lovesick schoolgirl who can not come to terms with a breakup.,Entailment,"A lovesick schoolgirl is someone who is not handling a breakup well, and is feeling sorry for herself as a result.",Simile,
6945,I planted some beautiful flowers and rabbits came and nibbled on them last night.,I was so excited that my beautiful flowers were flourishing and then I felt even better when I came in this morning and saw that the rabbits ate them all last night.,Contradiction,Flowers usually represent beauty and so seeing them be eaten by rabbits overnight would be a devastating sight and make someone feel terrible.,Sarcasm,
238,Your wife told you last night that lucid dreams are very rare.,Last night you learned from your wife that lucid dreams are like hen's teeth.,Entailment,"Hen's teeth are very rare, so the simile is emphasizing how rare lucid dreams are.",Simile,
3537,It smelled sweet and floral.,It smelled like a foxs den .,Contradiction,"A fox's den is usually full of the animal's prey, which would rot and produce a foul smell",Simile,
1696,One of my friend didn't keep this promise he made to me.,One of my friends really made me proud by not following through on the promise he made to me.,Contradiction,A friend not following through on a promise made to someone else is not praiseworthy and instead should be shameful.,Sarcasm,
4371,So I let my imagination get out of control with my heart.,So I let my imagination run riot with my heart.,Entailment,"To let something run riot means to let it get out of control, which is what happened with his imagination.",Idiom,run riot
1498,I can't get my printer to work properly and it's driving me crazy.,I am so satisfied with my printer because it doesn't print correctly and I really enjoy defunct devices.,Contradiction,A printer that doesn't print correctly is not a good thing because it causes frustration and wasted time trying to get the job done and hence it is not satisfying at all.,Sarcasm,
3322,I feel so upset when other people tell such horrible lies about other people.,I absolutely adore it when people lie about other people because it makes me so appreciative of them,Contradiction,Lying about other people is not a good thing to do and it should not make anyone feel appreciative but instead show that the person who is lying is not a good person.,Sarcasm,
4324,"We were walking through a New England forest and the darkness felt like it was swallowing us whole, due to the thick canopy of trees that were spaced so impossibly close together.","But on top of that, we were wandering through some new england forest and the thick canopy of trees, spaced so impossibly close together, made the darkness feel like like a man-eating anaconda .",Entailment,"A man-eating anaconda is a large, threatening creature, swallowing people and is used as a way to depict the scary and ominious nature of the pitch darkness in the forest",Simile,
876,She starts her lectures by telling a bunch of jokes.,She seals her lectures with joke.,Contradiction,"To seal something means to close it off or make it final, while to start something means to begin it.",Metaphor,
3430,"I have no control over my life, I'm still happy.","I have absolutely no control over my life, and yet I'm like a fish in deep water.",Entailment,"A fish in deep water is free and unencumbered, and can therefore be happy despite having no control over its life.",Simile,
2809,"He stepped lightly, his stride sure and unhurried","He stepped lightly, his stride like a huge jungle cat , an apex predator out for a prowl in his domain.",Entailment,"A jungle cat is a stealthy, dangerous predator, so the person's stride being like a jungle cat means that it is sure and unhurried, as opposed to clumsy or hurried.",Simile,
277,Janet: why can't you avoid disturbing or interfering with the situation?,Janet: why can't you let sleeping dogs lie?,Entailment,"To let sleeping dogs lie means to leave a situation alone so as to avoid worsening it, which is what Janet is asking in the context.",Idiom,let sleeping dogs lie
1671,The latest intelligence is hidden to all command posts.,The latest intelligence is flashed to all command posts.,Contradiction,"The word flashed typically implies the information is communicated quickly, while hidden means the information was not shared.",Metaphor,
743,"The threat was now coming at him slowly, and Terry's eyes changed in response.",Terrys eyes changed to the threat now coming at him like a freight train.,Contradiction,"A freight train is a large, fast-moving object, whereas something coming slowly would not be compared to a freight train",Simile,
1608,The ex-slave didn't get her freedom until her death.,The ex-slave found freedom shortly before she died.,Contradiction,"To find something means to discover it or come across it, however, the contradiction suggests that she didn't get her freedom until she died.",Metaphor,
3078,My neice and daughter left such a mess in the play room today that I couldn't even look at them,I was so calm and happy when I came home and found the playroom in total shambles that I couldn't even look at my niece and daughter,Contradiction,"Seeing the playroom in a state of disarray would usually invoke feelings of anger, frustration or disappointment in most people and so finding it in that condition does not make someone calm and happy.",Sarcasm,
4656,it had many people,The room was as crowded as a room of millionaires who got there by selling xylophone tapes,Contradiction,A room of millionaires who got there by selling xylophone tapes would be empty since this is not a profitable business,Simile,
2021,My flight got cancelled and I missed my son's birthday.,I was so cheerful when my flight got cancelled and I missed my son's birthday party,Contradiction,Flights getting cancelled often leads to inconvenience and missed opportunities and so someone being cheerful about it does not make sense.,Sarcasm,
1848,Always glad to listen.,Always glad to lend an ear.,Entailment,"To lend an ear means to listen, so the two phrases have the same meaning.",Idiom,lend an ear
2249,Before I could save my 20 page paper for a class the computer crashed and I lost all of my work.,I feel ecstatic that all my work for a 20 page research paper got erased because my computer crashed,Contradiction,Losing all your work on a research paper that you have been working on for a long time can be very bothersome and stressful and not all ecstatic because it means they have to do it all over again.,Sarcasm,
1386,It smelled fresh and fragrant.,It smelled like a moldy old basement .,Contradiction,"A moldy basement would have a musty smell, which is not fresh and fragrant",Simile,
4144,His eyes were gray,His eyes were like a winter's sky,Entailment,A winter's sky is typically gray.,Simile,
2392,His laughter kills everyone who is in the same room.,His laughter infects everyone who is in the same room.,Contradiction,"To infect someone with something means to spread it to them, while to kill someone with something means to cause their death.",Metaphor,
3776,I wanna sell my phone but I'm scared to meet people from craigslist,I'm really looking forward to meeting shady people from craigslist to sell my phone.,Contradiction,Meeting shady people from craigslist is not a safe thing to do and so someone who is looking forward to it is being sarcastic.,Sarcasm,
595,His hair was very thick.,His hair was thick like a needle.,Contradiction,"A needle is a thin object, so saying his hair was like a needle implies it was thin, not thick",Simile,
2473,"Guys who give an honest effort, I do not support them and do not fight for them.","Guys who give an honest effort, I go to the mat for them.",Contradiction,"To go to the mat for someone means to give them full support and fight for them until the end, but in this context there is no support given.",Idiom,go to the mat
6058,And don't expect to not see me for a long while.,And don't expect to lay eyes on me for a long while.,Contradiction,"To lay eyes on someone is to see them, but this context says that the person shouldn't expect not to see them for a long time.",Idiom,lay eyes on
4199,The President completely denies the allegation or accusation is a blant denial.,The President brushed aside the accusations.,Entailment,Brushed aside means to disregard or dismiss something.,Metaphor,
29,"You both have something pressing to say, time is plenty.","You both have something important to say, but time is like a half-blink.",Contradiction,"A hlaf-blink would be even faster than a blink of an eye, which is considered so fast it is unnoticeable, hence the simile is describing a very short period of time",Simile,
6865,"If it was, would you accept? Of course, rafferty.","If it was, would you accept? not on your life, rafferty.",Contradiction,"Not on your life is used to refuse very firmly to do something, but in this context rafferty is accepting",Idiom,not on your life
96,Everyone agreed that the political newcomer was defeated and humiliated by the congressman during their first televised debate.,Everyone agreed that the political newcomer gave the congressman a bloody nose during their first televised debate.,Contradiction,"To give someone a bloody nose means to inflict damage or defeat on someone, but in this sentence the political newcomer was the one who was defeated.",Idiom,give someone a bloody nose
3856,we were exploring a very small grassland.,we were sinking in an ocean of grass.,Contradiction,"In one sentence we are sinking in an ocean of grass, i.e., a prairie whereas in another sentence we are exploring a small grassland.",Metaphor,
1559,The girl was very laidback.,The girl was as laidback as a black tie wedding,Contradiction,"A black tie wedding is a formal event, so the girl being as laidback as one would imply that she is not very laidback",Simile,
5541,"Last week I stole a donut from my boyfriend's desk, I was really hungry",I feel proud about the fact that I stole a donut from my boyfriend's desk last week because I was starving,Contradiction,"Stealing is never an accomplishment and is rather a bad thing to do, especially if the stolen item was from someone close to you like a boyfriend, so one cannot feel proud about it.",Sarcasm,
